chronotrain_id,city,Airport,Country,IATA airport code,ICAO airport code
7100028.0,Santiago de Compostela,Santiago de Compostela Airport,Spain,SCQ,LEST
2510911.0,Seville,Seville Airport,Spain,SVQ,LEZL
,Tenerife,Tenerife North Airport,Spain,TFN,GCXO
,Tenerife,Tenerife South Airport,Spain,TFS,GCTS
2509954.0,Valencia,Valencia Airport,Spain,VLC,LEVC
3104324.0,Zaragoza,Zaragoza Airport,Spain,ZAZ,LEZG
2711537.0,Gothenburg,Gothenburg Landvetter Airport,Sweden,GOT,ESGG
2692969.0,Malmö,Malmö Airport,Sweden,MMX,ESMS
2673730.0,Stockholm,Stockholm Arlanda Airport,Sweden,ARN,ESSA
2673730.0,Stockholm,Stockholm Bromma Airport,Sweden,BMA,ESSB
2673730.0,Stockholm,Stockholm Skavsta Airport,Sweden,NYO,ESKN
3128760.0,Basel,Basel Mulhouse Freiburg Airport,Switzerland,BSL,LFSB
2660646.0,Geneva,Geneva Airport,Switzerland,GVA,LSGG
2657896.0,Zurich,Zurich Airport,Switzerland,ZRH,LSZH
2643743.0,Adana,Adana Airport,Turkey,ADA,LTAF
7500010.0,Ankara,Ankara Esenboga Airport,Turkey,ESB,LTAC
,Antalya,Antalya Airport,Turkey,AYT,LTAI
,Dalaman,Dalaman Airport,Turkey,DLM,LTBS
7501624.0,Istanbul,Istanbul Airport,Turkey,IST,LTFM
,Istanbulökcen,Istanbul Sabiha Gökcen Airport,Turkey,SAW,LTFJ
7500031.0,Izmir,Izmir Adnan Menderes Airport,Turkey,ADB,LTBJ
,Milas,Milas-Bodrum Airport,Turkey,BJV,LTFE
,Trabzon,Trabzon Airport,Turkey,TZX,LTCG
2200044.0,Kharkiv,Kharkiv Airport,Ukraine,HRK,UKHH
2200005.0,Kiev,Kiev Boryspil Airport,Ukraine,KBP,UKBB
2200005.0,Kiev,Kiev Zhuliany Airport,Ukraine,IEV,UKKK
2200025.0,Lviv,Lviv Airport,Ukraine,LWO,UKLL
2200063.0,Odessa,Odessa Airport,Ukraine,ODS,UKOO
2657832.0,Aberdeen,Aberdeen Airport,United Kingdom,ABZ,EGPD
2655984.0,Belfast,Belfast City Airport,United Kingdom,BHD,EGAC
2655984.0,Belfast,Belfast International Airport,United Kingdom,BFS,EGAA
2655603.0,Birmingham,Birmingham Airport,United Kingdom,BHX,EGBB
2654675.0,Bristol,Bristol Airport,United Kingdom,BRS,EGGD
2653822.0,Cardiff,Cardiff Airport,United Kingdom,CWL,EGFF
7003040.0,East Midlands,East Midlands Airport,United Kingdom,EMA,EGNX
2650225.0,Edinburgh,Edinburgh Airport,United Kingdom,EDI,EGPH
7000819.0,Exeter,Exeter Airport,United Kingdom,EXT,EGTE
2648579.0,Glasgow,Glasgow Airport,United Kingdom,GLA,EGPF
2648579.0,Glasgow,Glasgow Prestwick Airport,United Kingdom,PIK,EGPK
,Jersey,Jersey Airport,United Kingdom,JER,EGJJ
2644688.0,Leeds,Leeds Bradford Airport,United Kingdom,LBA,EGNM
2644210.0,Liverpool,Liverpool Airport,United Kingdom,LPL,EGGP
2643743.0,London,London City Airport,United Kingdom,LCY,EGLC
2643743.0,London,London Gatwick Airport,United Kingdom,LGW,EGKK
2643743.0,London,London Heathrow Airport,United Kingdom,LHR,EGLL
2643743.0,London,London Luton Airport,United Kingdom,LTN,EGGW
2643743.0,London,London Southend Airport,United Kingdom,SEN,EGMC
2643743.0,London,London Stansted Airport,United Kingdom,STN,EGSS
2643123.0,Manchester,Manchester Airport,United Kingdom,MAN,EGCC
2641673.0,Newcastle,Newcastle Airport,United Kingdom,NCL,EGNT
2637487.0,Southampton,Southampton Airport,United Kingdom,SOU,EGHI
