city,lat,lng,place_id
Gothenburg,57.70887,11.97456,ChIJPwdslmeOT0YRQHwOKXiQAQQ
Malmö,55.604981,13.003822,ChIJ_5HEdKUFU0YR5YhIvd8FqdM
Stockholm,59.3293235,18.0685808,ChIJywtkGTF2X0YRZnedZ9MnDag
Basel,47.5595986,7.5885761,ChIJTzBpJ8dJkEcRkIpt83DrHDY
Geneva,46.2043907,6.1431577,ChIJ6-LQkwZljEcRObwLezWVtqA
Zurich,47.3768866,8.541694,ChIJGaK-SZcLkEcRA9wf5_GNbuY
Adana,36.9914194,35.3308285,ChIJk3GcpziPKBURBuoLWNh0FtY
Ankara,39.9333635,32.8597419,ChIJsS1zINVH0xQRjSuEwLBX3As
Antalya,36.8968908,30.7133233,ChIJwa2t3a6awxQRMy7j-XOfxpU
Dalaman,36.76662,28.799991,ChIJpWiJoIlwwBQRSewH47Miga4
Istanbul,41.0082376,28.9783589,ChIJawhoAASnyhQR0LABvJj-zOE
Izmir,38.423734,27.142826,ChIJzcpip2LYuxQR_uicpaG7jGI
Milas,37.311638,27.780795,ChIJW6LFR0r6vhQRgAuBnp7xY8w
Trabzon,41.0026969,39.7167633,ChIJiezyawY8ZEARcSuMdMoKOcQ
Kharkiv,50.0020127,36.3073994,ChIJiw-rY5-gJ0ERCr6kGmgYTC0
Kiev,50.4503596,30.5245025,ChIJBUVa4U7P1EAR_kYBF9IxSXY
Lviv,49.839683,24.029717,ChIJV5oQCXzdOkcR4ngjARfFI0I
Odessa,46.4702111,30.7306393,ChIJQ0yGC4oxxkARbBfyjOKPnxI
Aberdeen,57.1498891,-2.0937528,ChIJSXXXH0wFhEgRcsT0XNoFu-g
Belfast,54.597285,-5.93012,ChIJO4rQ1_3_YEgRMcXH7ywWVy4
Birmingham,52.486243,-1.890401,ChIJc3FBGy2UcEgRmHnurvD-gco
Bristol,51.454513,-2.58791,ChIJYdizgWaDcUgRH9eaSy6y5I4
Cardiff,51.483707,-3.1680962,ChIJ9VPsNNQCbkgRDmeGZdsGNBQ
Edinburgh,55.953252,-3.188267,ChIJIyaYpQC4h0gRJxfnfHsU8mQ
Glasgow,55.8616704,-4.2583345,ChIJ685WIFYViEgRHlHvBbiD5nE
Jersey,49.2137711,-2.1357662,ChIJM3WSjKRSDEgRw2waCqMjnFE
Leeds,53.8007554,-1.5490774,ChIJmb1k2ko-eUgRqdwTAv26rVE
Liverpool,53.4083714,-2.9915726,ChIJt2BwZIrfekgRAW4XP28E3EI
London,51.5072178,-0.1275862,ChIJdd4hrwug2EcRmSrV3Vo6llI
Manchester,53.4807593,-2.2426305,ChIJ2_UmUkxNekgRqmv-BDgUvtk
Newcastle,54.978252,-1.61778,ChIJzWRvDH6FfUgRkWGncrBS4gs
Southampton,50.9105468,-1.4049018,ChIJCSkVvleJc0gR8HHaTGpajKc
