,Airport,Country,icao_code,city,iata_code,airport_lat,airport_lng,iso_country_code,chronotrain_id,train_station_lat,train_station_lng,city_lat,city_lng,place_id,airport_duration,station_duration
96,Trieste Airport,Italy,LIPQ,Trieste,TRS,45.82279,13.48464,ITA,3165185.0,45.64953,13.77678,45.6495264,13.7768182,ChIJM_Xt5AZre0cRUCvd1IQkamY,38.31666666666667,0.0
97,Turin Airport,Italy,LIMF,Turin,TRN,45.20076,7.64963,ITA,3165524.0,45.07049,7.68682,45.0703393,7.686864,ChIJ31ztwwxtiEcR4JQ8R33mBQQ,25.966666666666665,0.1333333333333333
98,Verona Airport,Italy,LIPX,Verona,VRN,45.39571,10.88853,ITA,3164527.0,45.4299,10.98444,45.4383842,10.9916215,ChIJ4-CbaWhff0cRW1mCaGNa-FM,19.95,9.033333333333331
100,Kaunas Airport,Lithuania,EYKA,Kaunas,KUN,54.96392,24.08478,LTU,598316.0,54.90272,23.90961,54.8985207,23.9035965,ChIJQ9NnsXAi50YRvIs3x-DRS2E,22.116666666666667,2.4
101,Vilnius Airport,Lithuania,EYVI,Vilnius,VNO,54.63413,25.28577,LTU,593116.0,54.68916,25.2798,54.6871555,25.2796514,ChIJ9QhkXPuT3UYRQNzpcIzRAAQ,18.98333333333333,1.1
102,Luxembourg Airport,Luxembourg,ELLX,Luxembourg,LUX,49.62658,6.21152,LUX,2960316.0,49.61167,6.13,49.815273,6.129583,ChIJRyEhyrlFlUcR75LTAvZg22Q,31.35,31.23333333333333
103,Chisinau Airport,Moldova,LUKK,Chisinau,KIV,46.92778,28.93083,MDA,618426.0,47.00556,28.8575,47.0104529,28.8638103,ChIJoWm3KDZ8yUARPN1JVzDW0Tc,16.85,5.033333333333333
104,Podgorica Airport,Montenegro,LYPG,Podgorica,TGD,42.35939,19.25189,MNE,3193044.0,42.44111,19.26361,42.4304196,19.2593642,ChIJfYYGlgfoTRMR6YpY6naK92s,28.766666666666666,6.266666666666667
105,Amsterdam Airport Schiphol,Netherlands,EHAM,Amsterdam,AMS,52.3103,4.76028,NLD,2759794.0,52.37403,4.88969,52.3675734,4.9041389,ChIJVXealLU_xkcRja_At0z9AGY,26.633333333333333,14.85
106,Eindhoven Airport,Netherlands,EHEH,Eindhoven,EIN,51.45014,5.37453,NLD,2756253.0,51.44083,5.47778,51.4231423,5.4622897,ChIJn8N5VRvZxkcRmLlkgWTSmvM,19.4,12.316666666666666
107,Groningen Airport Eelde,Netherlands,EHGG,Groningen,GRQ,53.11972,6.57944,NLD,2755251.0,53.21917,6.56667,53.2193835,6.5665018,ChIJp8xitIYyyEcR3Mim-YZQS8s,22.183333333333334,1.05
108,Maastricht Aachen Airport,Netherlands,EHBK,Maastricht,MST,50.91166,5.77014,NLD,2751283.0,50.84833,5.68889,50.8513682,5.6909725,ChIJnwZBWOzpwEcRbqi-zHuV61M,16.7,8.9
109,Rotterdam The Hague Airport,Netherlands,EHRD,Rotterdam,RTM,51.95548,4.43685,NLD,2747891.0,51.9225,4.47917,51.9244201,4.4777325,ChIJfcRUX2C3xUcRhUtelay7KVI,12.116666666666667,1.45
110,Skopje Airport,North Macedonia,LWSK,Skopje,SKP,41.96162,21.62138,MKD,785842.0,41.99646,21.43141,41.9981294,21.4254355,ChIJpaKajKUVVBMRICCHYMKI7bI,25.383333333333333,2.216666666666667
111,Bergen Airport,Norway,ENBR,Bergen,BGO,60.29339,5.21814,NOR,3161732.0,60.39299,5.32415,60.3912628,5.3220544,ChIJd312ZkkNOUYRCAretD6gQp4,25.15,5.783333333333333
